Chr	Start	End	CE_start	CE_end
chr01	0	28337482	15459808	18975994
chr02	0	20631507	13339292	14005146
chr03	0	22402385	14530240	14714352
chr04	0	27997278	12292942	15811837
chr05	0	27461981	13530833	15189350
chr06	0	25151296	10243559	13865640
chr07	0	32727582	12600350	15114970
chr08	0	23966465	6674678	7353212
chr09	0	22757282	13559535	14914050
chr10	0	27315782	19670967	21076739
chr11	0	22836006	14242313	16411946
chr12	0	24314534	11325864	11670118
chr13	0	29436427	11955202	13222112
chr14	0	30012830	14501060	14998168
chr15	0	23660778	7321173	9154767
chr16	0	26203455	9278705	12671254
chr17	0	20990963	14815585	16735036
chr18	0	37630737	17014324	17228912
chr19	0	31635204	21428542	23700821
